seqnum,StationNumber,Latitude,Longitude,Elevation,StationName                             ,Who_entered,use_index,source_seqnum,country_seqnum
1400202,28501,46.0953,17.2333,123,Vízvár                                  ,7,1,116,205
1400203,28703,46.1125,17.7142,134,Somogyhatvan                            ,7,1,116,205
1400204,28703,46.1125,17.7142,134,Somogyhatvan                            ,7,1,116,205
1400205,28703,46.1125,17.7142,134,Somogyhatvan                            ,7,1,116,205
1400206,28818,46.145,17.8292,140.7,Szentlászló                             ,7,1,116,205
1400207,28818,46.145,17.8292,140.7,Szentlászló                             ,7,1,116,205
1400208,29206,45.9597,17.4503,112,Barcs Gyógyfürdő                        ,7,1,116,205
1400209,32803,48.0125,18.8911,209,Kemence                                 ,7,1,116,205
1400210,33403,47.9767,18.7919,126,Vámosmikola                             ,7,1,116,205
1400211,33412,47.8636,18.8775,231,Márianosztra                            ,7,1,116,205
1400212,33412,47.8636,18.8775,231,Márianosztra                            ,7,1,116,205
1400213,33435,47.8322,18.8547,118,Szob                                    ,7,1,116,205
1400214,33435,47.8322,18.8547,118,Szob                                    ,7,1,116,205
1400215,33436,47.8942,18.9778,258,Szokolya Királyrét                      ,7,1,116,205
1400216,33436,47.8942,18.9778,258,Szokolya Királyrét                      ,7,1,116,205
1400217,33436,47.8942,18.9778,258,Szokolya Királyrét                      ,7,1,116,205
1400218,33437,47.9225,18.7686,110,Ipolytölgyes                            ,7,1,116,205
1400219,33438,47.8981,18.9697,280,Szokolya Királyrét Alsótax              ,7,1,116,205
1400220,33510,47.7347,18.1869,110,Komárom Szőny                           ,7,1,116,205
1400221,33703,47.7214,18.5578,186,Bajót                                   ,7,1,116,205
1400222,33703,47.7214,18.5578,186,Bajót                                   ,7,1,116,205
1400223,33705,47.6606,18.4411,321,Tardos                                  ,7,1,116,205
1400224,33705,47.6606,18.4411,321,Tardos                                  ,7,1,116,205
1400225,33705,47.6606,18.4411,321,Tardos                                  ,7,1,116,205
1400226,33714,47.7781,18.7556,132,Esztergom                               ,7,1,116,205
1400227,33833,47.6861,18.8983,341,Pilisszentkereszt                       ,7,1,116,205
1400228,34116,47.6347,18.0572,128,Nagyigmánd                              ,7,1,116,205
1400229,34117,47.515,18.0042,166,Ászár                                   ,7,1,116,205
1400230,34117,47.515,18.0042,166,Ászár                                   ,7,1,116,205
1400231,34117,47.515,18.0042,166,Ászár                                   ,7,1,116,205
1400232,34202,47.5761,18.3142,184,Környe Tagyospuszta                     ,7,1,116,205
1400233,34202,47.5761,18.3142,184,Környe Tagyospuszta                     ,7,1,116,205
1400234,34235,47.5456,18.3281,152,Környe                                  ,7,1,116,205
1400235,34301,47.6544,18.5994,208,Bajna                                   ,7,1,116,205
1400236,34301,47.6544,18.5994,208,Bajna                                   ,7,1,116,205
1400237,34302,47.5933,18.6481,201,Gyermely                                ,7,1,116,205
1400238,34304,47.5478,18.7233,158,Zsámbék                                 ,7,1,116,205
1400239,34304,47.5478,18.7233,158,Zsámbék                                 ,7,1,116,205
1400240,34406,47.5764,18.8914,326,Nagykovácsi                             ,7,1,116,205
1400241,34413,47.5617,18.9656,256,Budapest Pesthidegkút                   ,7,1,116,205
1400242,34413,47.5617,18.9656,256,Budapest Pesthidegkút                   ,7,1,116,205
1400243,34432,47.6347,18.8372,242,Piliscsaba Klotildliget                 ,7,1,116,205
1400244,34435,47.5514,18.9489,230,Budapest Remetekertváros                ,7,1,116,205
1400245,34435,47.5514,18.9489,230,Budapest Remetekertváros                ,7,1,116,205
1400246,34436,47.63,18.8975,198,Pilisvörösvár                           ,7,1,116,205
1400247,34437,47.6239,18.7747,235,Tinnye                                  ,7,1,116,205
1400248,34527,47.3692,18.0278,228,Súr                                     ,7,1,116,205
1400249,34527,47.3692,18.0278,228,Súr                                     ,7,1,116,205
1400250,34528,47.4958,18.0292,179,Kisbér                                  ,7,1,116,205
1400251,34529,47.4228,18.2217,219,Pusztavám                               ,7,1,116,205
1400252,34617,47.3956,18.4781,139.1,Csákvár                                 ,7,1,116,205
1400253,34617,47.3956,18.4781,139.1,Csákvár                                 ,7,1,116,205
1400254,34703,47.4306,18.6008,143.2,Alcsútdoboz                             ,7,1,116,205
1400255,34703,47.4306,18.6008,143.2,Alcsútdoboz                             ,7,1,116,205
1400256,34703,47.4306,18.6008,143.2,Alcsútdoboz                             ,7,1,116,205
1400257,34704,47.4742,18.5228,186.3,Szár                                    ,7,1,116,205
1400258,34704,47.4742,18.5228,186.3,Szár                                    ,7,1,116,205
1400259,34713,47.4497,18.5875,149,Felcsút belterület                      ,7,1,116,205
1400260,34713,47.4497,18.5875,149,Felcsút belterület                      ,7,1,116,205
1400261,34813,47.3958,18.9122,120,Érd                                     ,7,1,116,205
1400262,34813,47.3958,18.9122,120,Érd                                     ,7,1,116,205
1400263,34815,47.4111,18.9492,140.6,Diósd                                   ,7,1,116,205
1400264,34815,47.4111,18.9492,140.6,Diósd                                   ,7,1,116,205
